Code;ID;Index;Name_r;Name_e;Code_Kind_0;Code_Kind_1;Code_Kind_2;Code_Kind_3;Group;Kind_2;Kind_1;Kind_0;T0;T1;Size_t;Size_Code;Element;X_deg;Y_deg;X_Pul;Y_Pul;u2;X_deg_1;Y_deg_1;X_deg_2;Y_deg_2;Rayon;Icon;INFO;MAP_ID;Поле32;Поле33;Oblast;nextBorder;Y_deg_back;Desc_Long
33;33;IV-5-17;Кок- Янгак;Kok-Yangak;1;12;121;12101;Каменный уголь;Уголь;Твердое топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;25;Мелкое;3;;73.18;41.02;13347186;4544095;;73.18;41.02;73.18;41.02;Узгенский район;/icon/Coal04.png;33_328_Kok-Yangak.txt;328;;;Ошская область;;41.02;Разрабатывается с 1896г  <br>детальная разведка и доразведка - 1942 - 88гг <br><br>(ГКЗ ТКЗ-1978 1990г: <br>А+В-9796  <br>С1+С2-43320  <br>зб.12513  <br>всего 65629т.т). <br><br>Добыча: 1951-66гг  - 11222  <br>1966-1994г  - 14382  <br>1995-98гг  - 172тыс.т . <br>Всего-25776тыс.т . <br><br>Уголь ДВ  энерг.  <br>Пригоден для получения жидкого т <br><br>Госбаланс на гл.600м тыс.т : <br>В-6940 <br>С1-37501 <br>С2-14244 <br>зб.12513 <br>всего-71198 <br><br>Теплота сгорания 5980-8498 ккал/кг <br>зольность- 12.0-22.5% <br>влага - 3.5-6% <br>сера - 0.6-2.04% <br>летучие-25-39.8% <br>кокс-71-80.5% <br>смолы-15.25% <br>газы-290-380м3/т <br><br>Шахтное поле - 32км2. <br>всего 13 пластов,  падающих к западу под углом  15-300, из них кондиц.-6 (мощность 1.0-4.1м).
6;6;V-1-1;Ходжабакырган;Khodjabakyrgan;1;11;111;11101;Нефть;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;;;0;;69.58;40.07;13037773;4451097;;69.58;40.07;69.58;40.07;Лейлекский район;/icon/Oil04.png;6_73_Khodjabakyrgan.txt;73;;;Баткенская область;;40.07;Структура бесперспективная. <br>Извлекаемые запасы кат.С2  1428 тыс.т <br><br>Нет сведений. <br>Потенциально нефтеносная брахиантиклиналь сложена толщами К и Р. <br>Нефтеносные пласты не вскрыты.
7;7;V-1-2;Карагачи;Karagachi;1;11;111;11101;Нефть;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;4;Мелкое;3;;69.57;40.05;13036238;4449332;;69.57;40.05;69.57;40.05;Лейлекский район;/icon/Oil04.png;7_74_Karagachi.txt;74;;;Баткенская область;;40.05;Эксплуатируется с 1974г В 1998г добыто 1тыс.т . <br><br>Учтено балансом. <br>На 01.01.2000 г.  Извлекаемые запасы: <br>кат.С1 - 35тыс.т  <br>кат.С2 - 29тыс.т  <br>кат.С1+С2 - 64тыс.т  <br>газ растворенный  кат.С1 - 1млн.м3. <br><br>Плотность - 0.864г/см3 <br>Вязкость -3.75мПас <br>Сера-0 4.00%  <br>Парафин - 13% <br>Смолы и асфальтены - 43% <br>Пласт нефтеносного песчаника Р в ядре пологой трехгорбой антиклинали на глубине 2.8км. <br>Площадь залежи - 2.45км2  <br>эффективная мощность - 1.95м.
8;8;V-1-3;Ташрават;Tashravat;1;11;111;11101;Нефть;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;;Мелкое;3;;69.98;40.17;13072551;4460201;;69.98;40.17;69.98;40.17;Лейлекский район;/icon/Oil04.png;8_13_Tashravat.txt;13;;;Баткенская область;;40.17;Эксплуатируется с 1974г <br>добыто 5тыс.т . <br><br>Учтено балансом. <br>Извлекаемые запасы  <br>нефть кат.С1 - 190тыс.т  <br>кат.С2 - 200 тыс.т  <br>кат.С1+С2 - 390тыс.т  <br><br>Плотность - 0.87г/см3 <br>Вязкость - 6.5 мПас  <br>Сера - 0.31% <br>Парафин - 21.4% <br>Смолы и  асфальтены - 73% <br><br>Пласт нефтеносного песчаника Р в ядре антиклинали на глубине 1.2км. <br>Площадь залежи - 9.8 км2  <br>эффективная мощность - 2.04м.
9;9;V-1-4;Бешкент-Тогап;Beshkent-Togap;1;11;111;11101;Нефть;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;5;Мелкое;3;;69.8;40.07;13056272;4449991;;69.8;40.07;69.8;40.07;Лейлекский район;/icon/Oil04.png;9_75_Beshkent-Togap.txt;75;;;Баткенская область;;40.07;Эксплуатируется с 1977г <br>В 1998г добыто 13тыс.т . <br><br>Учтено балансом. <br>Извлекаемые запасы по кат.В: <br>уч.Бешкент - 459тыс.т  <br>уч.Тогап - 109тыс.т <br>Всего - 568 тыс.т <br><br>Плотность - 0.86г/см3<br>Вязкость -  5.6 и 10 мПас  <br>Сера - 0.37 и 0.21% <br>Парафин - 10.8 и 25%  <br><br>Смолы и асфальтены - 57 и 52% <br>Два участка - 2 пласта нефтеносных песчаников Р в ядре антиклинали на глубине ~ 2км.<br>Площади залежей 12.458 км2 и 6.495 км2<br> эффективные мощности соответственно 3.06 и 2.45м.
10;10;V-2-2;Тамчи;Tamchi;1;11;111;11101;Нефть;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;6;Мелкое;3;;70;40.17;13073972;4460121;;70;40.17;70;40.17;Лейлекский район;/icon/Oil04.png;10_14_Tamchi.txt;14;;;Баткенская область;;40.17;Эксплуатируется с 1982г В 1998гдобыто 2.3тыс.т . <br><br>Учтено балансом. <br>На 01.01.2000г Запасы извлек.: <br>кат.В - 32 тыс.т  кат.<br>С1 - 452 тыс.т  кат.<br>В+С1 - 484тыс.т  <br><br>Плотность - 0.876 г/м<br><br>Вязкость - 2.7мПас  <br>Сера - 0.26%<br>Парафин - 7%  <br><br>Смолы и асфальтены - 43% <br><br>Пласт нефтеносного песчаника в ядре антиклинали на глубине 2.5км. <br><br>Площадь залежи -3.25км2  <br>эффективная мощность - 5.5м.
11;11;V-3-10;Яркутан;Yarkutan;1;11;111;11101;Нефть;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;;Мелкое;3;;71.47;40.25;13199342;4463361;;71.47;40.25;71.47;40.25;Кадамжайский район;/icon/Oil04.png;11_7_Yarkutan.txt;7;;;Баткенская область;;40.25;Месторождение  эксплуатировалось с 1909 по 1965г Практически отработано. <br><br>Запасы извлекаемой нефти на 01.01.59г: <br>кат.А+В-589.9тыс.т  <br><br>Газ - кат.В-40.2 млн.м3. <br><br>Нефть: <br>Плотность - 0.87г/см3 <br>Вязкость - 4.24мПас  <br>Сера - 0.31% <br>Парафин - 7.51%  <br>Смолы и асфальтены-29% <br><br>Газ: <br>Плотн.-0.64-0.98г/см3 <br>Теплотворная способ. 8.5-14.1тыс.кДж<br><br>Один нефтеносный и 3 газоносных пласта в песчаных толщах к сводовой части антиклинали на глубинах 310-370м. <br>Эффективная мощность нефтеносного пласта - 6м. <br>Длина нефтяной залежи - 7.5км,  ширина 400-700м, высота - 200м.
12;12;IV-4-8;Майлису III;Mailisu III;1;11;111;11102;Нефть и газ;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;7;Мелкое;3;;72.45;41.22;13286146;4567853;;72.45;41.22;72.45;41.22;Ноокенский район;/icon/Oil-Gases04-1.png;12_293_Mailisu_III.txt;293;;;Джалал-Абадская область;;41.22;Месторождение эксплуатируется с 1989 г В 1998г добыто 1тыс.т  нефти. <br><br>Учтено балансом. <br>Извлек. запасы: <br>Нефть: кат.С1 - 205 тыс.т  <br>кат.С2 - 463тыс.т . <br>Газ: кат.С1 - 4млн.м3 <br>кат.С2 - 10млн.м3 <br>Газ свободный: кат.С2-60млн.м3 <br><br>Нефть: <br>Плотность - 0.86г/см3 <br>Вязкость - 6 5мПас  <br>Сера - 0.35% <br>Парафин - 6%  <br>Смолы и асфальтены - 40%  <br>Сводовые пластовые нефтегазовые залежи приурочены к ядру брахиантиклинали. Глубина залегания 0.2 - 2км. <br>Нефть - в породах С и Р, газ - в толщах J и К. <br>Площадь нефтяных залежей - 35.75км2,  эффективная мощность-5.6м.
13;13;IV-4-15;Майлису IV-Восточный Избаскент;Mailisu IV-East Izbaskent;1;11;111;11102;Нефть и газ;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Проявление;8;Среднее;2;;72.47;41.13;13287275;4558555;;72.47;41.13;72.47;41.13;Ноокенский район;/icon/Oil-Gases04-1.png;13_316_Mailisu_IV.txt;316;;;Джалал-Абадская область;;41.13;Эксплуатируется с 1950г В 1998г добыто 54тыс.т нефти и 12млн.м3 газа. <br><br>Запасы извлекаемые на  01.01.2000г: <br>нефть  кат.А+В+С1 - 8708тыс.т . <br>кат.С2 - 804тыс.т . <br><br>Нефть: Плотность - 0.812-0.867г/см3 <br>Вязкость - 1.7-6.7 мПас  <br>Сера - 0.085-0.19% <br><br>15 горизонтов-коллекторов в теригенно-карбонатной толще J-K-Р на глубинах 1-2км.<br>Моноклиналь с антиклинальными перегибами: Майлису IV
14;14;IV-4-16;Избаскент;Izbaskent;1;11;111;11102;Нефть и газ;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;9;Мелкое;3;;72.42;41.1;13282966;4554977;;72.42;41.1;72.42;41.1;Ноокенский район;/icon/Oil-Gases04-1.png;14_315_Izbaskent.txt;315;;;Джалал-Абадская область;;41.1;Эксплуатируется с 1956г В 1998г добыто 2 тыс.т  нефти и 3млн.м3 газа.<br><br>Учтено балансом. <br>Запасы извлекаемые: <br>нефть: кат.А+В+С1-182тыс.т <br>кат.С2 - 96тыс.т <br><br>газ:  кат.С1-42млн.м3  <br>кат.С2 - 6 млн.м3. <br><br>Нефть:  <br>Плотность - 0.865г/см3  <br>Вязкость - 1.7-3.мПас <br>Сера - 0.17-0.19%  <br>Парафин - 7.5-9.5%  <br>Смолы и асфальтены - 21-22.4%. <br><br>Газ: Плотн.:0.61-1.22г/см3. <br>Теплотворная способность 33.5 - 67.0 тыс.кДж. <br><br>9 нефтегазоносных пластов песчаника и известняка в толщах К и Р на глубине 2км. <br>Нефть - в пластах Р, газ в породах К. <br><br>Площади нефтеносных залежей 2.83 - 9.45км2  <br>эффективные мощности пластов 0.67-0.80м.
15;15;V-2-6;Ниязбек-Северный  Каракчикум;Niyazbek-Severny-Karakchikum;1;11;111;11102;Нефть и газ;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;10;Мелкое;3;;70.17;40.13;13087977;4455628;;70.17;40.13;70.17;40.13;Лейлекский район;/icon/Oil-Gases04-1.png;15_17_Niyazbek-Severny-Karakchikum.txt;17;;;Баткенская область;;40.13;Эксплуатируется с 1974г В 1998г добыто 3млн.м3 газа. <br><br>Учтено балансом.<br>Извлекаемые запасы: <br>нефть: кат.А+В -178тыс.т  <br>газ:  кат.В - 3283млн.м3  <br>конденсат  кат.А+В - 375тыс.т .<br><br>Нефть:  <br>Плотность - 0.84 - 0.87г/см3  <br>Вязкость - 0.78 - 1.2мПас  <br>Сера - 0.11-0.33%  <br>Парафин-7.6-13.4%  <br>Смолы и асфальтены - 9.1 - 10.8%. <br>Газ: Плотн.:0.643 - 0.79г/см3  Теплотворная способность 37.2 - 46.1тыс.кДж. <br><br>Три подгазовые нефтяные залежи среди песчаников Р на глубинах 3660-3700м. <br>Свободный газ в виде газовых шапок и растворенный газ в нефти локализуются в одних и тех же структурах. <br>Площади нефтегазовых залежей 0.74-1.73км2,  эффективная мощность - 2.3-5.8м
16;16;V-3-2;Чонгара;Chongara;1;11;111;11102;Нефть и газ;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;;Мелкое;3;;71.02;40.25;13161041;4464987;;71.02;40.25;71.02;40.25;Лейлекский район;/icon/Oil-Gases04-1.png;16_1_Chongara.txt;1;;;Баткенская область;;40.25;Эксплуатировалось с 1949г Практически отработано.<br><br>Нет сведений. <br><br>Нефть:  Плотность  -0.86-0.88г/см3  <br>Сера - 0.13-0.20%  <br>Парафин - 6.1-9.5% <br>Смолы - 20-30%. <br><br>Газы растворены в нефти. Газы - тяжелые с большим содержанием газолина.  <br>8 продуктивных нефтегазоносных карбонатных и песчаных пластов в толщах К и Р, слагающих антиклинальную складку со средней глубиной залегания 600 м.  1 промышленный пласт нефти  в песчаниках Р на глубине 430м. <br>Общая мощность - 8м. 3  промышленных газоносных пласта в известняках К на глубинах 520-530м. Эффективная мощность 6-10м
17;17;V-3-3;Риштан Северный;Rishtan Severny;1;11;111;11102;Нефть и газ;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Проявление;11;Мелкое;3;;71.22;40.25;13178064;4464240;;71.22;40.25;71.22;40.25;Кадамжайский район;/icon/Oil-Gases04-1.png;17_3_Rishtan Severny.txt;3;;;Баткенская область;;40.25;Эксплуатировалось с 1956г Законсервировано.<br><br>Учтено балансом. <br>Извлекаемые запасы: Нефть  кат.А+В - 207 тыс.т <br>Газ  кат.А+В - 100млн.м3. <br><br>Нефть: <br>Плотность - 0.73г/см3  <br>Вязкость - 1.37мПас  <br>Сера - 0.39% <br>Парафин - 4.7 %  <br>Смолы и асфальты-11%. <br><br>Газ: <br>Плотность - 0.67-1.25г/см3  <br>Теплотворная способность - 10.4-11.6 тыс.кДж. <br>Три нефтегазоносных горизонта известняков и горизонт песчаников К в ядре антиклинали на глубинах 0.8-1.2км. <br><br>Площадь нефтегазоносной залежи - 10.56км2 <br>эффективная мощность-15.8м.
18;18;IV-4-33;Сузак;Suzak;1;11;111;11103;Газы горючие;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;12;Мелкое;3;;72.83;40.89;13317376;4529957;;72.9;40.89;72.9;40.89;Сузакский район;/icon/Burn04-1.png;18_350_Suzak.txt;350;;;Джалал-Абадская область;;40.88;Эксплуатируется с 1970г Учтено балансом. <br><br>На 01.01.2000г кат.С1 - 17млн.м3. <br><br>Плотность -  0.63-0.67г/см3  <br>Теплотворная способность  32.2-32.6 тыс.кДж <br><br>2 газовые залежи локализ. в песчаниках J в ядре антиклинали на глубине 1.86-1.9км.<br><br>Площади газоносности 4.6км2 и 1.4км,  газонасыщ. толщина 10.3м и 14.8м. <br>Газ свободный.
19;19;V-2-4;Аксарайское;Aksaray;1;11;111;11103;Газы горючие;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;;;0;;70.17;40.15;13088078;4457480;;70.17;40.15;70.17;40.15;Лейлекский район;/icon/Burn04-1.png;19_16_Aksaray.txt;16;;;Баткенская область;;40.15;Промышленных перспектив не имеет.  Не эксплуатировалось <br><br>Суточный дебит газа 7тыс.м3 и 10тыс.м3. <br>Запасы не подсчитывались. <br>Качество не определялось. <br><br>2 газоносных пласта в ядре антиклинали, сложенной толщами Р на глубине ~ 570м. <br>Длина складки 1.2км.
20;20;V-3-4;Сарыкамыш;Sarykamysh;1;11;111;11103;Газы горючие;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;14;Мелкое;3;;71.22;40.2;13177827;4458686;;71.22;40.2;71.22;40.2;Кадамжайский район;/icon/Burn04-1.png;20_25_Sarykamysh.txt;25;;;Баткенская область;;40.2;Месторождение резервное. <br><br>Учтено балансом. <br>Запасы кат.С1 - 322млн.м3.<br><br>Плотность 0.75г/см3  <br>Теплотворная способность - 8.7тыс.кДж. <br><br>Три газовые залежи в карбонатно-терригенных толщах J и К в ядре антиклинали  на глубинах 100-800м. <br><br>Площадь залежи  - 1.46км2  <br>газонасыщ. толщина -18м. <br>Газ свободный.
21;21;V-3-5;Сары-Ток;Sary-Tok;1;11;111;11103;Газы горючие;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;15;Мелкое;3;;71.25;40.2;13180665;4458565;;71.25;40.2;71.25;40.2;Кадамжайский район;/icon/Burn04-1.png;21_26_Sary-Tok.txt;26;;;Баткенская область;;40.2;Месторождение резервное. <br><br>Учтено балансом. <br>Запасы кат.С1 - 166млн.м3. <br><br>Плотность 0.71г/см3  <br>Теплотворная способность - 9.2тыс.кДж.<br><br>4 газоносные залежи в своде брахиантиклинали в терригенной толще К.<br><br>Площадь газоносн. 1.7км2  <br>газонасыщ. толщина - 11м. <br>Газ - свободный.
